Study,Temp Â°F,Batch Number,Box Number ,Cupcake Location in Pan,Height (cm),,Batch Average Height (cm),Batch SD,Batch Var,,Temp ,Overage Temp Average,,Pilot Study Overall SD,Pilot Study Overall Var,,Experiment Overall SD,Experiment Overall Var
pilot ,325,1,1,1,4.4,brown,4.5,0.126491106,0.016,,300,4.022222222,,0.173205081,0.03,,0.245511045,0.060275673
pilot ,325,1,1,2,4.6,light blue,,,,,325,4.333333333,,,,,,
pilot ,325,1,1,3,4.3,purple,,,,,350,4.3,,,,,,
pilot ,325,1,1,4,4.5,orange,,,,,375,4.516666667,,,,,,
pilot ,325,1,1,5,4.6,pink,,,,,,,,,,,,
pilot ,325,1,1,6,4.6,red,,,,,,,,,,,,
pilot ,350,1,1,1,4.1,brown,4.2,0.109544512,0.012,,,,,,,,,
pilot ,350,1,1,2,4.1,light blue,,,,,,,,,,,,
pilot ,350,1,1,3,4.2,purple,,,,,,,,,,,,
pilot ,350,1,1,4,4.4,orange,,,,,,,,,,,,
pilot ,350,1,1,5,4.2,pink,,,,,,,,,,,,
pilot ,350,1,1,6,4.2,red,,,,,,,,,,,,
pilot ,375,1,1,1,4.2,brown,4.5,0.219089023,0.048,,,,,,,,,
pilot ,375,1,1,2,4.3,light blue,,,,,,,,,,,,
pilot ,375,1,1,3,4.6,purple,,,,,,,,,,,,
pilot ,375,1,1,4,4.5,orange,,,,,,,,,,,,
pilot ,375,1,1,5,4.8,pink,,,,,,,,,,,,
pilot ,375,1,1,6,4.6,red,,,,,,,,,,,,
experiment,300,1,2,1,4.4,brown,4.366666667,0.103279556,0.010666667,,,,,,,,,
experiment,300,1,2,2,4.3,light blue,,,,,,,,,,,,
experiment,300,1,2,3,4.2,purple,,,,,,,,,,,,
experiment,300,1,2,4,4.4,orange,,,,,,,,,,,,
experiment,300,1,2,5,4.5,pink,,,,,,,,,,,,
experiment,300,1,2,6,4.4,red,,,,,,,,,,,,
experiment,300,2,2,1,3.9,brown,3.933333333,0.103279556,0.010666667,,,,,,,,,
experiment,300,2,2,2,4.1,light blue,,,,,,,,,,,,
experiment,300,2,2,3,4,purple,,,,,,,,,,,,
experiment,300,2,2,4,3.8,orange,,,,,,,,,,,,
experiment,300,2,2,5,3.9,pink,,,,,,,,,,,,
experiment,300,2,2,6,3.9,red,,,,,,,,,,,,
experiment,300,3,2,1,3.9,brown,3.766666667,0.121106014,0.014666667,,,,,,,,,
experiment,300,3,2,2,3.6,light blue,,,,,,,,,,,,
experiment,300,3,2,3,3.8,purple,,,,,,,,,,,,
experiment,300,3,2,4,3.7,orange,,,,,,,,,,,,
experiment,300,3,2,5,3.7,pink,,,,,,,,,,,,
experiment,300,3,2,6,3.9,red,,,,,,,,,,,,
experiment,325,2,3,1,4.5,brown,4.25,0.137840488,0.019,,,,,,,,,
experiment,325,2,3,2,4.2,light blue,,,,,,,,,,,,
experiment,325,2,3,3,4.2,purple,,,,,,,,,,,,
experiment,325,2,3,4,4.1,orange,,,,,,,,,,,,
experiment,325,2,3,5,4.2,pink,,,,,,,,,,,,
experiment,325,2,3,6,4.3,red,,,,,,,,,,,,
experiment,325,3,3,1,4.2,brown,4.25,0.083666003,0.007,,,,,,,,,
experiment,325,3,3,2,4.3,light blue,,,,,,,,,,,,
experiment,325,3,3,3,4.3,purple,,,,,,,,,,,,
experiment,325,3,3,4,4.1,orange,,,,,,,,,,,,
experiment,325,3,3,5,4.3,pink,,,,,,,,,,,,
experiment,325,3,3,6,4.3,red,,,,,,,,,,,,
experiment,350,2,3,1,4.2,brown,4.216666667,0.172240142,0.029666667,,,,,,,,,
experiment,350,2,3,2,4.3,light blue,,,,,,,,,,,,
experiment,350,2,3,3,3.9,purple,,,,,,,,,,,,
experiment,350,2,3,4,4.3,orange,,,,,,,,,,,,
experiment,350,2,3,5,4.4,pink,,,,,,,,,,,,
experiment,350,2,3,6,4.2,red,,,,,,,,,,,,
experiment,350,3,3,1,4.1,brown,4.483333333,0.213697606,0.045666667,,,,,,,,,
experiment,350,3,3,2,4.6,light blue,,,,,,,,,,,,
experiment,350,3,3,3,4.4,purple,,,,,,,,,,,,
experiment,350,3,3,4,4.7,orange,,,,,,,,,,,,
experiment,350,3,3,5,4.6,pink,,,,,,,,,,,,
experiment,350,3,3,6,4.5,red,,,,,,,,,,,,
experiment,375,2,4,1,4.6,brown,4.566666667,0.103279556,0.010666667,,,,,,,,,
experiment,375,2,4,2,4.5,light blue,,,,,,,,,,,,
experiment,375,2,4,3,4.6,purple,,,,,,,,,,,,
experiment,375,2,4,4,4.4,orange,,,,,,,,,,,,
experiment,375,2,4,5,4.6,pink,,,,,,,,,,,,
experiment,375,2,4,6,4.7,red,,,,,,,,,,,,
experiment,375,3,4,1,4.6,brown,4.483333333,0.116904519,0.013666667,,,,,,,,,
experiment,375,3,4,2,4.5,light blue,,,,,,,,,,,,
experiment,375,3,4,3,4.3,purple,,,,,,,,,,,,
experiment,375,3,4,4,4.5,orange,,,,,,,,,,,,
experiment,375,3,4,5,4.6,pink,,,,,,,,,,,,
experiment,375,3,4,6,4.4,red,,,,,,,,,,,,
